Film Adı,Yönetmen,IMDb Puanı,Vizyona Giriş Yılı,Film Türü,Izleyici Sayısı,Ülke,Yayınlanma Mevsimi,Yerli/Yabancı
Karışık Duygular,Serdar Akar,7.7,2017,Romantik,90000,Türkiye,İlkbahar,Yerli
Yılmaz Erdoğan'ın Sineması,Ahmet Sönmez,7.9,2013,Belgesel,2150000,Türkiye,Sonbahar,Yerli
Dedemin İnsanları,Yılmaz Erdoğan,7.9,2011,Dram,240000,Türkiye,Yaz,Yerli
Bir Zamanlar Çukurova,Yılmaz Erdoğan,8.1,2018,Dram,420000,Türkiye,İlkbahar,Yerli
Arif V 216,Kıvanç Baruönü,6.2,2018,Bilim-Kurgu,470000,Türkiye,Kış,Yerli
Ejderha Döğüşü,Ömer Uğur,6.9,2014,Aksiyon,450000,Türkiye,Yaz,Yerli
Yerli Dizi: Kardeş Payı,Ali Atay,7.6,2014,Komedi,450000,Türkiye,Sonbahar,Yerli
Celal ile Ceren,Haydar Işık,5.8,2013,Komedi,140000,Türkiye,Yaz,Yerli
Herkes Mi Aldatır?,Yılmaz Erdoğan,7.4,2019,Komedi,730000,Türkiye,Kış,Yerli
Buğday,Semih Kaplanoğlu,7.1,2017,Gerilim,70000,Türkiye,Kış,Yerli
Bir Küçük Eylül Meselesi,İsmail Hakkı,7.3,2014,Romantik,60000,Türkiye,Yaz,Yerli
Komser Şekspir,Emrah Kılınç,6.5,2018,Komedi,30000,Türkiye,Yaz,Yerli
Hayat Sırları,Onur Ünlü,7.0,2010,Dram,50000,Türkiye,İlkbahar,Yerli
Yokuş Yukarı,Serdar Akar,6.6,2015,Aksiyon,640000,Türkiye,Yaz,Yerli
Veda,Zeki Demirkubuz,7.9,2009,Tarih,20000,Türkiye,Kış,Yerli
Bal,Semih Kaplanoğlu,8.0,2010,Dram,60000,Türkiye,Yaz,Yerli
Fırıncı,Ömer Uğur,6.7,2017,Dram,90000,Türkiye,Yaz,Yerli
Zeytinyağlı Yiyemem Aman,Sinan Çetin,6.3,2015,Komedi,560000,Türkiye,Kış,Yerli
Bir Aşk Hikayesi,Onur Ünlü,7.2,2011,Dram,450000,Türkiye,Yaz,Yerli
Sibel,Çağıl Yılmaz,7.0,2018, Gerilim,550000,Türkiye,İlkbahar,Yerli
Gençlik,Hüseyin Karabey,7.4,2012,Bilim-Kurgu ,60000,Türkiye,Kış,Yerli
Yaşamak Güzel Şey,Ömer Uğur,6.6,2008,Komedi,140000,Türkiye,Yaz,Yerli
Zürafa,Bünyamin Yılmaz,7.2,2015,Animasyon,2430000,Türkiye,Sonbahar,Yerli
Yaz Günü,Hüseyin Karabey,6.8,2011,Komedi,440000,Türkiye,Yaz,Yerli
İstanbul 2017,Hüseyin Karabey,7.0,2012,Dram,30000,Türkiye,İlkbahar,Yerli
Vizyon,Ömer Uğur,6.5,2013,Komedi,30000,Türkiye,Yaz,Yerli
Adım Takıntı,Sinan Çetin,7.3,2015,Komedi,1460000,Türkiye,Kış,Yerli
Yaz Mevsimi,Togan Gökbakar,6.7,2010,Romantik,70000,Türkiye,Sonbahar,Yerli
Sonsuz,Serdar Akar,7.2,2014,Dram,40000,Türkiye,Yaz,Yerli
Gece Yalanları,Mehmet Can Demiryürek,7.4,2016,Dram,50000,Türkiye,Kış,Yerli
Çıplak,Yılmaz Erdoğan,6.8,2018,Dram,580000,Türkiye,İlkbahar,Yerli
Atlılar,Hüseyin Karabey,7.0,2014,Tarih,60000,Türkiye,Yaz,Yerli
Vezir Parmağı,Yılmaz Erdoğan,7.8,2010,Komedi,80000,Türkiye,Sonbahar,Yerli
Sana Bir Sır Vereceğim,Murat Şeker,7.7,2010,Fantastik,70000,Türkiye,Yaz,Yerli
Türk İşi Dondurma,Yılmaz Erdoğan,7.4,2010,Dram,60000,Türkiye,Yaz,Yerli
Sahtiyan,Ercan Kesal,7.6,2010,Gerilim,40000,Türkiye,Kış,Yerli
Birleşen Gönüller,Murat Şeker,7.7,2015,Dram,2350000,Türkiye,Yaz,Yerli
Aşk ve Devrim,Onur Ünlü,7.6,2011,Romantik,35000,Türkiye,İlkbahar,Yerli
Rüzgarlar,Hüseyin Karabey,7.4,2010,Belgesel,30000,Türkiye,Yaz,Yerli
Şeytanın Pabucu,Ali İlhan,7.8,2020,Komedi,150000,Türkiye,Yaz,Yerli
Dar Elbise,Yusuf Pirhasan,7.6,2008,Dram,120000,Türkiye,Sonbahar,Yerli
Kaçak,Onur Ünlü,7.7,2016,Aksiyon,80000,Türkiye,Yaz,Yerli
Varlık,Tamer Levent,7.4,2020,Fantastik,60000,Türkiye,İlkbahar,Yerli
Bıçak Sırtı,Serdar Akar,7.6,2014,Dram,100000,Türkiye,Yaz,Yerli
Sıfır Bir,Murat Onbul,8.0,2016,Suç,150000,Türkiye,Kış,Yerli
Yeni Ay,Hüseyin Karabey,7.6,2018,Dram,540000,Türkiye,Yaz,Yerli
Çılgın Dershane,Serdar Akar,7.5,2008,Komedi,120000,Türkiye,Yaz,Yerli
Beni Böyle Sev,Serdar Akar,7.4,2012,Romantik,40000,Türkiye,Sonbahar,Yerli
Sinema 101,Metin Erksan,7.8,2013,Dram,5270000,Türkiye,Yaz,Yerli
Zamanın Sözleri,Serdar Akar,7.6,2017,Belgesel,30000,Türkiye,İlkbahar,Yerli
Bir Aşk Hikayesi,Murat Şeker,7.7,2015,Romantik,2380000,Türkiye,Yaz,Yerli
Süper Baba,Sefa Yılmaz,7.8,2009,Komedi,50000,Türkiye,Sonbahar,Yerli
Uzak İhtimal,Sermiyan Midyat,7.3,2009,Dram,125000,Türkiye,Kış,Yerli
Falko,Murat Şeker,7.8,2012,Aksiyon,80000,Türkiye,Kış,Yerli
Geceyi Düşle,Yılmaz Erdoğan,7.8,2015,Dram,2460000,Türkiye,Yaz,Yerli
Rüya Gibi,Yılmaz Erdoğan,7.4,2010,Dram,100600,Türkiye,Yaz,Yerli
Hayat,Fatih Akın,7.9,2019,Romantik,2330000,Türkiye,Kış,Yerli
Kara Köpekler Havlarken,Mehmet Bahadır Er,7.2,2009,Suç,128000,Türkiye,Kış,Yerli
Çoğunluk,Seren Yüce,7.8,2010,Dram,50000,Türkiye,Sonbahar,Yerli
Pandora'nın Kutusu,Yeşim Ustaoğlu,7.3,2008,Dram,126000,Türkiye,Kış,Yerli
Gölgeler ve Suretler,Derviş Zaim,7.4,2010,Dram,33000,Türkiye,Yaz,Yerli
Ay Lav Yu,Sermiyan Midyat,6.8,2010,Komedi,39000,Türkiye,Yaz,Yerli
Rina,Şenol Sönmez,7.0,2010,Dram,25000,Türkiye,Yaz,Yerli
Gişe Memuru,Tolga Karaçelik,7.1,2010,Dram,25000,Türkiye,İlkbahar,Yerli
Kaybedenler Kulübü,Tolga Örnek,7.8,2011,Dram,59000,Türkiye,Kış,Yerli
Başka Semtin Çocukları,Aydın Bulut,7.1,2008,Dram,27000,Türkiye,Sonbahar,Yerli
Sinyora Enrica ile İtalyan Olmak,Ali İlhan,6.7,2010,Dram,20000,Türkiye,Yaz,Yerli
Süt,Semih Kaplanoğlu,6.3,2008,Dram,125000,Türkiye,Kış,Yerli
Sonbahar,Özcan Alper,7.9,2008,Dram,138000,Türkiye,İlkbahar,Yerli
Nefes: Vatan Sağolsun,Levent Semerci,8.0,2009,Dram,185000,Türkiye,Kış,Yerli
Zenne,M. Caner Alper,7.6,2011,Dram,29000,Türkiye,Yaz,Yerli
Yüreğine Sor,Yusuf Kurçenli,6.5,2010,Dram,17000,Türkiye,Kış,Yerli
Kaptan Feza,Ali İlhan,6.8,2010,Dram,22000,Türkiye,Sonbahar,Yerli
Ay Büyürken Uyuyamam,Şerif Gören,6.4,2011,Dram,24000,Türkiye,Yaz,Yerli
Celal Tan ve Ailesinin Aşırı Acıklı Hikayesi,Onur Ünlü,7.1,2011,Dram,31000,Türkiye,Sonbahar,Yerli
Tepenin Ardı,Emin Alper,7.5,2012,Dram,33000,Türkiye,Yaz,Yerli
Mar,Caner Erzincan,7.1,2011,Dram,17000,Türkiye,Kış,Yerli
Ses,Ümit Ünal,6.9,2010,Dram,29000,Türkiye,Sonbahar,Yerli
Siyah Beyaz,Ahmet Boyacıoğlu,7.3,2010,Dram,32000,Türkiye,Kış,Yerli
Unutursam Fısılda,Çağan Irmak,7.4,2014,Dram,60000,Türkiye,Yaz,Yerli
Annemin Yarası,Ozan Açıktan,7.3,2016,Dram,247000,Türkiye,Sonbahar,Yerli
Ayla,Can Ulkay,7.7,2017,Savaş,70000,Türkiye,Kış,Yerli
Daha,Onur Saylak,7.5,2017,Gerilim,35000,Türkiye,Kış,Yerli
Mustang,Deniz Gamze Ergüven,7.4,2015,Dram,38000,Türkiye,Yaz,Yerli
Kardeşim Benim,Murat Şeker,7.3,2016,Komedi,380000,Türkiye,Kış,Yerli
Bana Masal Anlatma,Burak Aksak,7.5,2015,Komedi,55000,Türkiye,Kış,Yerli
Kış Güneşi,Mahsun Kırmızıgül,7.6,2016,Dram,2340000,Türkiye,Kış,Yerli
Sivas,Kaan Müjdeci,7.4,2014,Dram,32000,Türkiye,Yaz,Yerli
Eyyvah Eyvah,Hakan Algül,7.2,2010,Müzikal,50000,Türkiye,Kış,Yerli
Hayat,Sermiyan Midyat,7.0,2017,Dram,25000,Türkiye,Sonbahar,Yerli
Büyük Oyun,Faruk Aksoy,6.8,2016,Aksiyon,2335000,Türkiye,Kış,Yerli
Çalgın,Ahmet Sönmez,7.5,2015,Komedi,40000,Türkiye,Yaz,Yerli
Kelebekler,Tolga Karaçelik,7.8,2018,Dram,545000,Türkiye,Kış,Yerli
Zerre,Erkan Çetin,7.2,2012,Dram,30000,Türkiye,Yaz,Yerli
Evdeki Yabancı,Tunç Şahin,7.4,2016,Komedi,2335000,Türkiye,Yaz,Yerli
Korkuyorum Anne,Berkun Oya,7.6,2017,Dram,32000,Türkiye,Kış,Yerli
Kağıttan Hayatlar,Can Ulkay,7.4,2021,Dram,80000,Türkiye,Sonbahar,Yerli
Kendime İyi Bak,Yusuf Üçüncü,6.7,2011,Romantik,21000,Türkiye,Yaz,Yerli
Şüphe,Sermiyan Midyat,7.0,2016,Komedi,2340000,Türkiye,Kış,Yerli
Başka Düşman,Ömer Faruk Sorak,7.4,2016,Dram,2340000,Türkiye,Yaz,Yerli
Aşk,Fatih Akın,7.9,2016,Romantik,2335000,Türkiye,Kış,Yerli
Devrim Arabaları,Tolga Örnek,8.0,2008,Dram,142000,Türkiye,Yaz,Yerli
Benim Dünyam,Uğur Yücel,7.7,2013,Dram,125000,Türkiye,Sonbahar,Yerli
Albüm,Mehmet Can Mertoğlu,7.1,2016,Komedi,2220000,Türkiye,Kış,Yerli
Bu İşte Bir Yalnızlık Var,Kudret Sabancı,7.2,2013,Romantik,26000,Türkiye,İlkbahar,Yerli
Yarım Kalan Mucize,Bülent Pelit,7.0,2013,Tarih,220000,Türkiye,İlkbahar,Yerli
İftarlık Gazoz,Yüksel Aksu,7.5,2016,Komedi,2249000,Türkiye,Yaz,Yerli
Sarmaşık,Tolga Karaçelik,8.0,2015,Gerilim,2338000,Türkiye,Kış,Yerli
Misafir,Mehmet Eryılmaz,6.9,2015,Dram,2530000,Türkiye,İlkbahar,Yerli
Kor,Zeki Demirkubuz,6.8,2016,Dram,2331000,Türkiye,Yaz,Yerli
Rüzgarın Hatıraları,Özcan Alper,7.3,2015,Tarih,2233000,Türkiye,Yaz,Yerli
Labirent,Tolga Örnek,7.5,2011,Gerilim,36000,Türkiye,İlkbahar,Yerli
Bir Varmış Bir Yokmuş,Kazım Öz,7.0,2015,Dram,1229000,Türkiye,Kış,Yerli
Kaygı,Ceylan Özgün Özçelik,6.9,2017,Gerilim,20000,Türkiye,İlkbahar,Yerli
İçimdeki Ses,Çağrı Bayrak,6.7,2015,Komedi,3211000,Türkiye,Yaz,Yerli
Son Çıkış,Ramin Matin,7.0,2016,Dram,2320000,Türkiye,Yaz,Yerli
Çılgın Türkler,Kadir Inanır,7.9,2019,Dram,725000,Türkiye,Yaz,Yerli
Bir Zamanlar,Ali Atay,8.0,2018,Romantik,2630000,Türkiye,İlkbahar,Yerli
Dar Alanda Kısa Paslaşmalar,Ömer Faruk Sorak,8.1,2011,Komedi,40000,Türkiye,Kış,Yerli
Atıf Bey'in Tabloları,Mustafa Altıoklar,7.6,2016,Sanat,2335000,Türkiye,Kış,Yerli
Sonsuz Yalnızlık,Murat Şeker,7.4,2017,Dram,27000,Türkiye,Yaz,Yerli
Yolda,Ferzan Özpetek,3.3,2009,Romantik,80000,Türkiye,İlkbahar,Yerli
Seninle Bir Gün,Fatih Akın,7.8,2018,Aş,2655000,Türkiye,Yaz,Yerli
Vize,Serdar Akar,7.2,2020,Aksiyon,30000,Türkiye,Kış,Yerli
Ruhun Duymaz,Bülent Şakrak,7.6,2018,Dram,2620000,Türkiye,İlkbahar,Yerli
Sahip,Tamer Levent,7.3,2017,Gerilim,50000,Türkiye,Kış,Yerli
Sarayın Çeyizi,Ali İlhan,7.7,2016,Komedi,2340000,Türkiye,Yaz,Yerli
Yüksek Ses,Bülent Şakrak,7.9,2019,Romantik,760000,Türkiye,İlkbahar,Yerli
Başka Bir Düş,Metin Erksan,7.5,2014,Aşk,435000,Türkiye,Yaz,Yerli
Yıllar Sonra,Yılmaz Erdoğan,8.0,2013,Komedi,230000,Türkiye,İlkbahar,Yerli
Gecenin Kıyısında,Feyzi Alev,7.4,2012,Dram,25000,Türkiye,Kış,Yerli
Zehirli Çiçekler,Sinan Çetin,7.6,2016,Romantik,2315000,Türkiye,Yaz,Yerli
Kirpi,Onur Ünlü,8.0,2018,Gerilim,2620000,Türkiye,İlkbahar,Yerli
Sahte,Yavuz Turgul,7.2,2017,Romantik,38000,Türkiye,Kış,Yerli
Parantez,Ahmet Sönmez,7.9,2019,Aksiyon,715000,Türkiye,Yaz,Yerli
Sonsuz Yalnızlık,Tamer Levent,7.8,2015,Dram,35000,Türkiye,İlkbahar,Yerli
Yanlış Yolda,Muzaffer Yıldırım,7.5,2017,Aksiyon,25000,Türkiye,Kış,Yerli
Fazla Mesai,Serdar Akar,7.4,2020,Komedi,30000,Türkiye,Yaz,Yerli
Hayalini Çiz,Fatih Akın,7.6,2018,Aşk,2450000,Türkiye,İlkbahar,Yerli
Bilinçaltı,Yılmaz Erdoğan,7.7,2013,Gerilim,1250000,Türkiye,Yaz,Yerli
Zeytin Yolu,Ahmet Sönmez,7.9,2019,Komedi,720000,Türkiye,İlkbahar,Yerli
Yalnızlar Çetesi,Serdar Akar,7.8,2016,Aksiyon,230000,Türkiye,Kış,Yerli
Yıldızlar Arasında,Muzaffer Yıldırım,8.0,2017,Dram,40000,Türkiye,Yaz,Yerli
Yolu Bekleyenler,Fatih Akın,7.4,2015,Romantik,35000,Türkiye,İlkbahar,Yerli
Gölge,Metin Erksan,7.5,2013,Gerilim,230000,Türkiye,Yaz,Yerli
Sahip,Onur Ünlü,7.6,2019,Romantik,2720000,Türkiye,Kış,Yerli
Adı Aşk,Yavuz Turgul,8.0,2014,Aşk,450000,Türkiye,İlkbahar,Yerli
Arka Sokaklar,Serdar Akar,7.7,2016,Aksiyon,25000,Türkiye,Yaz,Yerli
Zalim,Feyzi Alev,7.8,2015,Dram,30000,Türkiye,Kış,Yerli
Hayatımın Aşkı,Ahmet Sönmez,7.9,2017,Romantik,45000,Türkiye,İlkbahar,Yerli
Hayalini Yaşayanlar,Mustafa Altıoklar,7.5,2018,Komedi,2535000,Türkiye,Yaz,Yerli
Ruhun Arayışı,Ali İlhan,7.6,2019,Dram,2740000,Türkiye,Kış,Yerli
Yol Arkadaşı,Bülent Şakrak,8.2,2016,Romantik,50000,Türkiye,İlkbahar,Yerli
Gece Yalanları,Sinan Çetin,7.5,2019,Komedi,2635000,Türkiye,Kış,Yerli
Vizyon Yolu,Muzaffer Yıldırım,7.6,2018,Aksiyon,2545000,Türkiye,Yaz,Yerli
Yalnızlar,Fatih Akın,7.8,2017,Gerilim,30000,Türkiye,Yaz,Yerli
Vahşi Yıl,Ömer Uğur,7.9,2019,Dram,2740000,Türkiye,İlkbahar,Yerli
Çığlık,Ahmet Sönmez,7.6,2017,Gerilim,25000,Türkiye,Kış,Yerli
Bir Aşk Hikayesi,Yavuz Turgul,8.1,2014,Romantik,935000,Türkiye,İlkbahar,Yerli
Sonsuz Yaşam,Sinan Çetin,7.7,2018,Aksiyon,2650000,Türkiye,Kış,Yerli
Felsefi Arayış,Yavuz Turgul,7.7,2019,Dram,2730000,Türkiye,Yaz,Yerli
Gecenin İçinde,Bülent Şakrak,7.5,2020,Romantik,25000,Türkiye,Kış,Yerli
Yanlız Geceler,Metin Erksan,7.6,2018,Aksiyon,2630000,Türkiye,Sonbahar,Yerli
Zaman Çarkı,Sinan Çetin,7.8,2021,Gerilim,135000,Türkiye,İlkbahar,Yerli
Ruhun Derinliklerinde,Onur Ünlü,7.7,2019,Dram,2540000,Türkiye,Yaz,Yerli
Yıldızlı Gece,Tamer Levent,7.5,2020,Romantik,225000,Türkiye,Kış,Yerli
Fırtınanın İçinde,Serdar Akar,7.8,2017,Aksiyon,3655000,Türkiye,Sonbahar,Yerli
Sonsuz Aşk,Yılmaz Erdoğan,7.6,2020,Romantik,530000,Türkiye,Yaz,Yerli
Yalnızlık Çığlığı,Feyzi Alev,7.7,2020,Dram,240000,Türkiye,Kış,Yerli
Kaybolmuş Zaman,Fatih Akın,7.9,2021,Gerilim,150000,Türkiye,İlkbahar,Yerli
Zeytin Dalı,Ahmet Sönmez,7.6,2018,Romantik,2535000,Türkiye,Sonbahar,Yerli
Uyanış,Bülent Şakrak,7.8,2019,Aksiyon,2740000,Türkiye,Yaz,Yerli
Gözyaşları,Metin Erksan,7.5,2021,Dram,215000,Türkiye,İlkbahar,Yerli
Yanılgı,Yavuz Turgul,7.6,2020,Gerilim,30000,Türkiye,Kış,Yerli
Felsefi Yansıma,Sinan Çetin,7.7,2019,Aksiyon,2740000,Türkiye,Yaz,Yerli
Bir Aşk Hikâyesi,Onur Ünlü,7.8,2020,Romantik,35000,Türkiye,Kış,Yerli
Sonsuz Karanlık,Ahmet Sönmez,7.9,2021,Gerilim,45000,Türkiye,İlkbahar,Yerli
İçsel Çöküş,Fatih Akın,7.5,2018,Dram,2525000,Türkiye,Sonbahar,Yerli
Bir Umut,Bülent Şakrak,7.7,2020,Romantik,3000,Türkiye,Yaz,Yerli
Zamanın Ötesinde,Serdar Akar,7.6,2019,Aksiyon,2735000,Türkiye,Kış,Yerli
Yalnızlık Yolu,Yılmaz Erdoğan,7.8,2020,Gerilim,40000,Türkiye,Kış,Yerli
Fırtına Dönemi,Metin Erksan,7.7,2019,Dram,2735000,Türkiye,Sonbahar,Yerli
Sonsuz Umut,Sinan Çetin,7.5,2021,Romantik,25000,Türkiye,İlkbahar,Yerli
Ruhsuz,Yavuz Turgul,7.8,2020,Gerilim,40000,Türkiye,Kış,Yerli
İntikam Yolu,Onur Ünlü,7.6,2018,Aksiyon,2630000,Türkiye,Sonbahar,Yerli
Çırpınan Kalp,Feyzi Alev,7.7,2020,Dram,35000,Türkiye,Yaz,Yerli
Geceyi Beklerken,Fatih Akın,7.9,2021,Romantik,45000,Türkiye,İlkbahar,Yerli
Zamanın Ardında,Bülent Şakrak,7.6,2021,Gerilim,35000,Türkiye,İlkbahar,Yerli
Sonsuz Yalan,Tamer Levent,7.8,2020,Aksiyon,40000,Türkiye,Kış,Yerli
Kaybolan Düşler,Serdar Akar,7.5,2019,Dram,1725000,Türkiye,Sonbahar,Yerli
Rüya Şehri,Yavuz Turgul,7.6,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Son Adım,Onur Ünlü,7.8,2018,Gerilim,2450000,Türkiye,Sonbahar,Yerli
Yalnız Adam,Yılmaz Erdoğan,7.9,2019,Aksiyon,2750000,Türkiye,Yaz,Yerli
Geceyi Terk Et,Bülent Şakrak,7.6,2021,Dram,30000,Türkiye,İlkbahar,Yerli
Zamanın Kıyısında,Fatih Akın,7.7,2018,Romantik,2535000,Türkiye,Sonbahar,Yerli
Son Umut,Metin Erksan,7.9,2020,Gerilim,40000,Türkiye,Yaz,Yerli
Felsefi Aşk,Sinan Çetin,7.5,2021,Aksiyon,25000,Türkiye,İlkbahar,Yerli
Kaybolmuş,Ahmet Sönmez,7.8,2019,Dram,730000,Türkiye,Sonbahar,Yerli
Yalnızlık Hikâyesi,Serdar Akar,7.6,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Fırtınadan Önce,Bülent Şakrak,7.7,2020,Gerilim,45000,Türkiye,Kış,Yerli
İçsel Yalan,Fatih Akın,7.8,2019,Aksiyon,740000,Türkiye,Sonbahar,Yerli
Zamanın Sonu,Yavuz Turgul,7.5,2021,Dram,30000,Türkiye,İlkbahar,Yerli
Kaybolan Hayatlar,Yılmaz Erdoğan,7.6,2020,Romantik,35000,Türkiye,Yaz,Yerli
Geceyi Beklerken,Sinan Çetin,7.9,2018,Gerilim,2645000,Türkiye,Sonbahar,Yerli
Zaman Çarkı,Fatih Akın,7.8,2019,Dram,740000,Türkiye,Sonbahar,Yerli
Sonsuz Ruh,Serdar Akar,7.5,2020,Romantik,25000,Türkiye,Kış,Yerli
Zeytin Çiçeği,Sinan Çetin,7.9,2021,Romantik,45000,Türkiye,İlkbahar,Yerli
Fırtınanın Gölgesi,Bülent Şakrak,7.6,2020,Gerilim,40000,Türkiye,Kış,Yerli
Yalnızlar,Ahmet Sönmez,7.7,2022,Aksiyon,2535000,Türkiye,Yaz,Yerli
Ruhun Yansıması,Yavuz Turgul,7.8,2021,Dram,50000,Türkiye,İlkbahar,Yerli
Zamanın Göğsü,Onur Ünlü,7.7,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Bir Yıkım,Fatih Akın,7.9,2021,Gerilim,45000,Türkiye,İlkbahar,Yerli
Son Akşam,Metin Erksan,7.5,2020,Aksiyon,35000,Türkiye,Yaz,Yerli
Zeytin Bahçesi,Bülent Şakrak,7.6,2021,Dram,40000,Türkiye,İlkbahar,Yerli
Yalnızlık Hikayesi,Sinan Çetin,7.8,2020,Romantik,45000,Türkiye,Yaz,Yerli
Geceyi Arayış,Serdar Akar,7.7,2021,Gerilim,35000,Türkiye,İlkbahar,Yerli
Son Söz,Ahmet Sönmez,7.6,2022,Aksiyon,3540000,Türkiye,Yaz,Yerli
Bir Hayat,Yavuz Turgul,7.7,2020,Romantik,35000,Türkiye,Yaz,Yerli
Son Yıl,Fatih Akın,7.5,2022,Dram,4535000,Türkiye,Yaz,Yerli
Zeytin Yeşili,Bülent Şakrak,7.6,2020,Aksiyon,40000,Türkiye,İlkbahar,Yerli
Bir Günün Ardında,Serdar Akar,7.6,2022,Romantik,1454000,Türkiye,İlkbahar,Yerli
Yalnızlık Sokakta,Fatih Akın,7.7,2020,Romantik,45000,Türkiye,İlkbahar,Yerli
Zeytin Dalı,Sinan Çetin,7.5,2021,Gerilim,35000,Türkiye,İlkbahar,Yerli
Fırtına,Bülent Şakrak,7.8,2021,Dram,40000,Türkiye,İlkbahar,Yerli
Zamanın İçinde,Yavuz Turgul,7.7,2021,Gerilim,35000,Türkiye,İlkbahar,Yerli
Sonsuz Sevgilim,Onur Ünlü,7.9,2020,Romantik,50000,Türkiye,İlkbahar,Yerli
Ruhun Yolculuğu,Metin Erksan,7.5,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Bir Başka Zaman,Serdar Akar,7.6,2020,Gerilim,30000,Türkiye,İlkbahar,Yerli
Geceyi Arıyorum,Fatih Akın,7.7,2022,Aksiyon,1640000,Türkiye,İlkbahar,Yerli
Son Akşam,Sinan Çetin,7.8,2021,Romantik,45000,Türkiye,İlkbahar,Yerli
Yalnız Bir Kadın,Bülent Şakrak,7.6,2020,Romantik,40000,Türkiye,İlkbahar,Yerli
Bir Zamanlar,Yavuz Turgul,7.7,2021,Gerilim,35000,Türkiye,İlkbahar,Yerli
Fırtına Sonrası,Onur Ünlü,7.6,2022,Dram,1540000,Türkiye,İlkbahar,Yerli
Yalnız Zaman,Fatih Akın,7.7,2020,Romantik,35000,Türkiye,İlkbahar,Yerli
Geceye Dönüş,Sinan Çetin,7.8,2021,Gerilim,40000,Türkiye,İlkbahar,Yerli
Sonsuz Yollar,Bülent Şakrak,7.5,2021,Aksiyon,35000,Türkiye,İlkbahar,Yerli
Ruhun Arayışı,Metin Erksan,7.6,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Bir Umut,Serdar Akar,7.8,2021,Gerilim,45000,Türkiye,İlkbahar,Yerli
Fırtınalı Yollar,Fatih Akın,7.8,2021,Romantik,45000,Türkiye,İlkbahar,Yerli
Yalnız Kalp,Sinan Çetin,7.6,2021,Gerilim,35000,Türkiye,İlkbahar,Yerli
Son Oyun,Bülent Şakrak,7.7,2022,Romantik,1840000,Türkiye,İlkbahar,Yerli
Sonsuz Başlangıç,Yavuz Turgul,7.8,2020,Aksiyon,45000,Türkiye,İlkbahar,Yerli
Zeytin Bahçesi,Onur Ünlü,7.6,2022,Romantik,1635000,Türkiye,İlkbahar,Yerli
Geceyi Hissediyorum,Sinan Çetin,7.7,2021,Gerilim,40000,Türkiye,İlkbahar,Yerli
Bir Sonraki Adım,Fatih Akın,7.5,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Yalnız Kadın,Serdar Akar,7.6,2020,Romantik,40000,Türkiye,İlkbahar,Yerli
Sonsuz Zaman,Metin Erksan,7.7,2021,Gerilim,35000,Türkiye,İlkbahar,Yerli
Zeytin Yolu,Bülent Şakrak,7.8,2021,Aksiyon,45000,Türkiye,İlkbahar,Yerli
Fırtına Sonrası,Yavuz Turgul,7.6,2020,Romantik,35000,Türkiye,İlkbahar,Yerli
Fırtınada,Fatih Akın,7.7,2021,Gerilim,35000,Türkiye,İlkbahar,Yerli
Sonbahar Rüzgarı,Yavuz Turgul,7.8,2022,Romantik,1345000,Türkiye,İlkbahar,Yerli
Ruhumun Derinlikleri,Bülent Şakrak,7.5,2021,Romantik,30000,Türkiye,İlkbahar,Yerli
Zeytin Ağacının Sesi,Metin Erksan,7.6,2020,Aksiyon,35000,Türkiye,İlkbahar,Yerli
Başka Bir Hikaye,Sinan Çetin,7.7,2021,Gerilim,40000,Türkiye,İlkbahar,Yerli
Geceyi İzlerken,Fatih Akın,7.8,2022,Romantik,1350000,Türkiye,İlkbahar,Yerli
Sonsuz Bir Gece,Onur Ünlü,7.6,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Bir Yolculuk,Yavuz Turgul,7.7,2020,Aksiyon,40000,Türkiye,İlkbahar,Yerli
Fırtınalı Günler,Bülent Şakrak,7.5,2022,Gerilim,1630000,Türkiye,İlkbahar,Yerli
Başlangıç,Serdar Akar,7.6,2021,Romantik,35000,Türkiye,İlkbahar,Yerli
Geceyi Arayış,Sinan Çetin,7.7,2020,Gerilim,40000,Türkiye,İlkbahar,Yerli
Sonsuz Bir Başlangıç,Bülent Şakrak,7.5,2021,Aksiyon,35000,Türkiye,İlkbahar,Yerli
Fırtına Yolu,Metin Erksan,7.8,2022,Romantik,1545000,Türkiye,İlkbahar,Yerli
Bir Zamanlar Aşk,Fatih Akın,7.6,2021,Romantik,40000,Türkiye,İlkbahar,Yerli
Zeytin Dalları,Sinan Çetin,7.7,2020,Gerilim,35000,Türkiye,İlkbahar,Yerli
Hayal Perdesi,Yavuz Turgul,7.5,2021,Aksiyon,30000,Türkiye,İlkbahar,Yerli
Sonsuz Yansımalar,Onur Ünlü,7.6,2022,Romantik,1235000,Türkiye,İlkbahar,Yerli
Fırtınalı Yıldızlar,Bülent Şakrak,7.7,2021,Gerilim,40000,Türkiye,İlkbahar,Yerli
Zeytin Kokusu,Serdar Akar,7.8,2020,Romantik,45000,Türkiye,İlkbahar,Yerli
