Film Adı,Yönetmen,IMDb Puanı,Vizyona Giriş Yılı,Film Türü,Izleyici Sayısı,Ülke,Yayınlanma Mevsimi,Yerli/Yabancı
Tanrının Unuttuğu Yer,Hlynur Pálmason,7.1,2023,Dram,6482383, Fransa,Yaz,Yabancı
Kiralık Aşık,John Turturro,6.2,2014,Komedi,25184,ABD,İlkbahar,Yabancı
Ters Yüz,Pete Docter,8.1,2015,Animasyon,489265,ABD,Sonbahar,Yabancı
Ters Yüz 2,Kelsey Mann,7.6,2023,Animasyon,5450590,ABD,Sonbahar,Yabancı
Sil Baştan,Tom McCarthy,8.1,2015,Biyografi,44978,ABD,Kış,Yabancı
Casuslar Köprüsü,Steven Spielberg,7.6,2015,Dram,189719,ABD,Sonbahar,Yabancı
oda,Christian Volckman,6,2020,Bilim-Kurgu,8202,Fıransa,Yaz,Yabancı
otoban katilleri,Tolga Kadıoğlu,5.9,2023,Aksiyon,5482236,Türkiye,Yaz,Yabancı
mad max:fury road,George Miller,8.1,2015,3 Boyutlu,409042,ABD,İlkbahar,Yabancı
mission:impossible-ghost protocol,bread bird,7.4,2011,Macera,640819,ABD,Sonbahar,Yabancı
mission:impossible-ölümcül hesaplaşma,Christopher McQuarrie,7.7,2023,Macera,5295065,ABD,Yaz,Yabancı
mission:imposible-regue nation,Christopher McQuarrie,7.4,2015,Macera,719045,ABD,Yaz,Yabancı
sicario,Denis Villeneuve,7.7,2015,Dram,19088,ABD,Yaz,Yabancı
sicario:day of the soldado,Stefano Sollima,7.1,2018,Dram,119034,İtalya,İlkbahar,Yabancı
doraemon filmi:nobitanın kuçuk yıldız savaşları,Shin Yamaguchi,6.5,2022,Animasyon,1255741,japonya,Yaz,Yabancı
star wars:skywalkerın yükselişi,J.J. Abrams,6.4,2020,3 Boyutlu,378548,ABD,Sonbahar,Yabancı
han solo:bir star wars hikayesi,Ron Howard,6.9,2018,Bilim-Kurgu,146668,ABD,İlkbahar,Yabancı
star was:son jedi,Rian Johnson,6.9,2017,Bilim-Kurgu,2608551,ABD,Sonbahar,Yabancı
Doctor Strange,Scott Derrickso,7.5,2016,Aksiyon,2678250,ABD,Sonbahar,Yabancı
La La Land,Damien Chazelle,8,2016,Romantik,3150602,ABD,Sonbahar,Yabancı
Fantastic Beasts and Where to Find Them,David Yates,7.3,2016,Fantastik,2455328,ABD,Sonbahar,Yabancı
Suicide Squad,David Ayer,6,2016,Aksiyon,2745123,ABD,Yaz,Yabancı
Moana,Ron Clements/ John Musker,7.6,2016,Animasyon,2380153,ABD,Sonbahar,Yabancı
Hacksaw Ridge,Mel Gibson,8.1,2016,Savaş,2125680,ABD,Sonbahar,Yabancı
Passengers,Morten Tyldum,7,2016,Bilim-Kurgu,2320456,ABD,Kış,Yabancı
The Conjuring 2,James Wan,7.3,2016,Korku,2200478,ABD,Yaz,Yabancı
10 Cloverfield Lane,Dan Trachtenberg,7.2,2016,Bilim-Kurgu,2150238,ABD,İlkbahar,Yabancı
Batman v Superman: Dawn of Justice,Zack Snyder,6.5,2016,Aksiyon,2756325,ABD,İlkbahar,Yabancı
Captain America: Civil War,Anthony Russo/ Joe Russo,7.8,2016,Aksiyon,2869247,ABD,İlkbahar,Yabancı
X-Men: Apocalypse,Bryan Singer,6.8,2016,Aksiyon,2465357,ABD,İlkbahar,Yabancı
The Jungle Book,Jon Favreau,7.4,2016,Animasyon,2296147,ABD,İlkbahar,Yabancı
Deadpool,Deadpool,8,2016,Aksiyon,3109634,ABD,İlkbahar,Yabancı
Finding Dory,Andrew Stanton,7.2,2016,Animasyon,2312574,ABD,İlkbahar,Yabancı
Rogue One: A Star Wars Story,Gareth Edwards,7.6,2016,Aksiyon,2235478,ABD,Kış,Yabancı
Arrival,Denis Villeneuve,7.9,2016,Dram,3782364,ABD,Kış,Yabancı
The Secret Life of Pets,Chris Renaud/ Yarrow Cheney,7.1,2016,Animasyon,3231456,ABD,Yaz,Yabancı
Zootopia,Byron Howard/ Rich Moore,7.6,2016,Animasyon,2564341,ABD,Yaz,Yabancı
Sing,Garth Jennings,7,2016,Animasyon,1235147,ABD,Yaz,Yabancı
Thor: Ragnarok,Taika Waititi,7.9,2017,Aksiyon,1835147,ABD,Sonbahar,Yabancı
Wonder Woman,Patty Jenkins,7.3,2017,Aksiyon,709123,ABD,Sonbahar,Yabancı
Guardians of the Galaxy Vol,James Gunn,7.6,2017,Aksiyon,2776125,ABD,Sonbahar,Yabancı
Logan,James Mangold,8.1,2017,Aksiyon,2866235,ABD,Sonbahar,Yabancı
Despicable Me 3,Kyle Balda,6.2,2017,Animasyon,2163254,ABD,Yaz,Yabancı
Pirates of the Caribbean: Dead Men Tell No Tales,Joachim Rønning/ Espen Sandberg,6.5,2017,Aksiyon,356124,ABD,Yaz,Yabancı
Justice League,Zack Snyder,6.1,2017,Aksiyon,2484163,ABD,Yaz,Yabancı
Star Wars: Episode VIII - The Last Jedi,Rian Johnson,6.9,2017,Aksiyon,684512,ABD,Sonbahar,Yabancı
Kong: Skull Island,Jordan Vogt-Roberts,6.7,2017,Aksiyon,1357486,ABD,Yaz,Yabancı
Loving Vincent,Hugh Welchman,7.8,2017,Animasyon,265124,ABD,Yaz,Yabancı
Your Name.,Makoto Shinkai,8.4,2017,Animasyon,3337254,ABD,Yaz,Yabancı
Dunkirk,Christopher Nolan,7.9,2017,Savaş,2690125,ABD,Yaz,Yabancı
Get Out,Jordan Peele,7.7,2017,Korku,2540147,ABD,İlkbahar,Yabancı
It,Andy Muschietti,7.3,2017,Korku,820148,ABD,Sonbahar,Yabancı
Beauty and the Beast,Bill Condon,7.2,2017,Fantastik,2780496,ABD,İlkbahar,Yabancı
The Fate of the Furious,F. Gary Gray,6.6,2017,Aksiyon,1100542,ABD,Yaz,Yabancı
Baby Driver,Edgar Wright,7.6,2017,Aksiyon,2450125,ABD,Yaz,Yabancı
Coco,Lee Unkrich,8.4,2017,Animasyon,2890478,ABD,Kış,Yabancı
Blade Runner 2049,Denis Villeneuve,8,2017,Bilim-Kurgu,2700012,ABD,Sonbahar,Yabancı
John Wick: Chapter,Chad Stahelski,7.5,2017,Aksiyon,2630148,ABD,İlkbahar,Yabancı
War for the Planet of the Apes,Matt Reeves,7.5,2017,Aksiyon,2510897,ABD,Yaz,Yabancı
The Greatest Showman,Michael Gracey,7.6,2017,Müzikal,2720149,ABD,Kış,Yabancı
Kingsman: The Golden Circle,Matthew Vaughn,6.7,2017,Aksiyon,2540165,ABD,Sonbahar,Yabancı
The Lego Batman Movie,Chris McKay,7.3,2017,Animasyon,2640251,ABD,İlkbahar,Yabancı
Split,M. Night Shyamalan,7.3,2017,Gerilim,2640147,ABD,Kış,Yabancı
Black Panther,Ryan Coogler,7.3,2018,Aksiyon,3346913,ABD,Kış,Yabancı
Avengers: Infinity War,Anthony Russo/Joe Russo,8.4,2018,Aksiyon,3739637,ABD,İlkbahar,Yabancı
Deadpool 2,David Leitch,7.7,2018,Aksiyon,3231000,ABD,İlkbahar,Yabancı
Bohemian Rhapsody,Bryan Singer,8,2018,Biyografi,3997878,İngiltere,Sonbahar,Yabancı
Aquaman,James Wan,7,2018,Aksiyon,3145850,ABD,Kış,Yabancı
Mission: Impossible - Fallout,Mission: Impossible - Fallout,6,2018,Aksiyon,3701234,ABD,Sonbahar,Yabancı
Incredibles 2,Brad Bird,7.6,2018,Animasyon,1002753,ABD,Yaz,Yabancı
Jurassic World: Fallen Kingdom,J.A. Bayona,6.2,2018,Aksiyon,3305895,ABD,Yaz,Yabancı
Solo: A Star Wars Story,Ron Howard,6.9,2018,Bilim-Kurgu,2950103,ABD,Yaz,Yabancı
Venom,Ruben Fleischer,6.7,2018,Aksiyon,3033428,ABD,Sonbahar,Yabancı
Ant-Man and the Wasp,Peyton Reed,7.1,2018,Aksiyon,2980212,ABD,Yaz,Yabancı
Fantastic Beasts: The Crimes of Grindelwald,David Yates,6.6,2018,Fantastik,2846737,İngiltere,Sonbahar,Yabancı
A Star Is Born,Bradley Cooper,7.6,2018,Romantik,2915123,ABD,Sonbahar,Yabancı
Ralph Breaks the Internet,Rich Moore/Phil Johnston,7,2018,Animasyon,830784,ABD,Sonbahar,Yabancı
The Nun,Corin Hardy,5.3,2018,Korku,2780456,ABD,Sonbahar,Yabancı
Spider-Man: Into the Spider-Verse,Bob Persichetti/Peter Ramsey,8.4,2018,Animasyon,1245876,ABD,Kış,Yabancı
Creed II,Steven Caple Jr.,7.1,2018,Dram,2850103,ABD,Kış,Yabancı
The Meg,Jon Turteltaub,5.6,2018,Aksiyon,2920576,ABD,Yaz,Yabancı
Bumblebee,Travis Knight,7,2018,Aksiyon,2800301,ABD,Kış,Yabancı
Ready Player One,Steven Spielberg,7.5,2018,Bilim-Kurgu,2890145,ABD,İlkbahar,Yabancı
The Shape of Water,Guillermo del Toro,7.3,2018,Fantastik,1032678,ABD,Kış,Yabancı
Mary Poppins Returns,Rob Marshall,6.7,2018,Aile,451750,ABD,Kış,Yabancı
The Predator,Shane Black,5.3,2018,Aksiyon,701234,ABD,Sonbahar,Yabancı
Skyscraper,Rawson Marshall Thurber,5.8,2018,Aksiyon,662580,ABD,Yaz,Yabancı
Robin Hood,Otto Bathurst,5.3,2018,Aksiyon,603456,ABD,Sonbahar,Yabancı
Mortal Engines,Christian Rivers,6.1,2018,Bilim-Kurgu,710234,Yeni Zelanda,Kış,Yabancı
Ocean's 8,Gary Ross,6.2,2018,Komedi,820456,ABD,Yaz,Yabancı
Annihilation,Alex Garland,6.9,2018,Bilim-Kurgu,789345,ABD,Kış,Yabancı
The House with a Clock in Its Walls,Eli Roth,6,2018,Fantastik,670123,ABD,Sonbahar,Yabancı
Tomb Raider,Roar Uthaug,6.3,2018,Aksiyon,845678,ABD,İlkbahar,Yabancı
dogman,matteo garrone,7.2,2018,Dram,629137,İtalya,Yaz,Yabancı
Shoplifters,Kore-eda Hirokazu,7.9,2018,Dram,840571,Japonya,Yaz,Yabancı
